WARNING:root:Defaulting to PJRT_DEVICE=CPU
============================= test session starts ==============================
platform linux -- Python 3.10.12, pytest-8.4.1, pluggy-1.6.0 -- /localdev/jameszianxu/gen_mc/tt-torch/env/venv/bin/python3.10
cachedir: .pytest_cache
rootdir: /localdev/jameszianxu/gen_mc/tt-torch
configfile: pyproject.toml
plugins: cov-6.2.1, forked-1.6.0, xdist-3.8.0, split-0.10.0
collecting ... collected 1 item

tests/models/llama/test_llama3_generative.py::test_llama3_generate Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]Loading checkpoint shards: 100%|██████████| 2/2 [00:00<00:00, 51.82it/s]
[James] Manually forwarding attention mask
Initial prompt: '<|begin_of_text|>I like taking walks in the'
<|begin_of_text|>I like taking walks in the2025-08-11 19:24:42.379 (   0.000s) [        ABDE41C0]      dylib_platform.cc:47       1| DylibPlatform::SubclassInitialize
2025-08-11 19:24:42.381 (   0.001s) [        ABDE41C0]     client_instance.cc:39       1| ClientInstance::ClientInstance
2025-08-11 19:24:42.381 (   0.002s) [        ABDE41C0]              client.cc:18       1| TTClientInstance::TTClientInstance
2025-08-11 19:24:42.381 (   0.002s) [        ABDE41C0]     client_instance.cc:60       1| ClientInstance::Initialize
[32m                 Always[0m | [1m[38;5;240m   DEBUG[0m | Device grid size = { 8, 8 }
2025-08-11 19:24:45.627 (   3.248s) [        ABDE41C0]              stubs.inc:112   WARN| STUB: PJRT_Client_TopologyDescription
2025-08-11 19:24:45.627 (   3.248s) [        ABDE41C0]      error_instance.cc:49       1| ErrorInstance::PJRT_Error_Message
2025-08-11 19:24:45.627 (   3.248s) [        ABDE41C0]      error_instance.cc:58       1| ErrorInstance::PJRT_Error_GetCode
2025-08-11 19:24:45.627 (   3.248s) [        ABDE41C0]      error_instance.cc:43       1| ErrorInstance::PJRT_Error_Destroy
2025-08-11 19:24:45.627 (   3.248s) [        ABDE41C0]     client_instance.cc:383      1| ClientInstance::PJRT_Client_PlatformVersion
2025-08-11 19:24:45.627 (   3.248s) [        ABDE41C0]     client_instance.cc:363      1| ClientInstance::PJRT_Client_PlatformName
2025-08-11 19:24:45.627 (   3.248s) [        ABDE41C0]     client_instance.cc:395      1| ClientInstance::PJRT_Client_Devices
